F1
topk,score
5,0.07073160611173825
10,0.09230396434742512
15,0.09172797550322945
20,0.08709804772328014
25,0.08016068803417188
30,0.07349078627807953
35,0.06799910431957165
40,0.06398212098783665
45,0.06027997453872981
50,0.05737442973052938
55,0.05511177120141413
60,0.053603257837426116
65,0.052069123876846875
70,0.05154939270731956
75,0.05045300669257786
80,0.050002830686496406
85,0.049711805859469785
90,0.04909085177063729
95,0.04883154972507098
100,0.04837516204298563
105,0.04798794986663253
110,0.04767144743823602
115,0.0473955347322267
120,0.0472322756488743
125,0.04687825192206103
130,0.046540215280816165
135,0.04621129597792259
140,0.04580020306698698
145,0.04546454770197144
150,0.045030619762398326
155,0.0445820731825413
160,0.044340489109083274
165,0.043919108820577764
170,0.04366719872133735
175,0.04350123896080439
180,0.04315352175441423
185,0.04273321085333468
190,0.042365589719607674
195,0.04203827258118785
200,0.041689576303767184
