MAP
topk,score
5,0.033102575125429974
10,0.0425292265786237
15,0.046415940348935224
20,0.04861350993425864
25,0.04982726614503842
30,0.05065295802535226
35,0.051314316101815034
40,0.051990655041442006
45,0.05250229781531033
50,0.05299099111700565
55,0.053537053499441836
60,0.05408233184138357
65,0.05458261980970113
70,0.055195184857966255
75,0.05564777443821897
80,0.05618163168414772
85,0.056725976859055297
90,0.05718062276254214
95,0.057698722275006525
100,0.05815170706569718
105,0.05858601901349075
110,0.05904712136180744
115,0.059490731054799836
120,0.05995227270317267
125,0.06036432150231066
130,0.060764039259998175
135,0.061149973209497804
140,0.06149287211426191
145,0.061840162489693117
150,0.062147207091757826
155,0.0624372223479126
160,0.06277890834677201
165,0.06306016130310187
170,0.06336878833871586
175,0.06371535906156522
180,0.06398309535206424
185,0.06422889067933345
190,0.06447620590691946
195,0.06472790507175814
200,0.06496957658335456
