Precision
topk,score
5,0.0136327185244587
10,0.020609462710505216
15,0.02256081261694734
20,0.02341619887730553
25,0.022068965517241378
30,0.020850040096230954
35,0.019521136441745905
40,0.018003207698476343
45,0.016680032076984763
50,0.015589414595028066
55,0.014551286724502444
60,0.013646083934776797
65,0.012781444698044538
70,0.01210906174819567
75,0.011537022186581128
80,0.011026463512429831
85,0.01063257700834945
90,0.010237904303662122
95,0.00986789347064534
100,0.009534883720930231
105,0.009233589185473708
110,0.008952394838521543
115,0.008695652173913042
120,0.008493718257150494
125,0.008250200481154771
130,0.008117944605514776
135,0.007900442543586088
140,0.007744300607171498
145,0.00755468296324973
150,0.007452552793370757
155,0.007331143130610239
160,0.007252405773857257
165,0.007163859930499866
170,0.007075805462521818
175,0.006960705693664795
180,0.006914372271228726
185,0.006788183532369579
190,0.006706622209091294
195,0.0066333559517200245
200,0.006579791499599038
