F1
topk,score
5,0.008991581239065927
10,0.02104947241231732
15,0.02738266406390412
20,0.03136812944547628
25,0.0314333924412998
30,0.031174197753690396
35,0.030208717619857835
40,0.028634048704274613
45,0.02711463598602453
50,0.02580086385190168
55,0.024450757470622104
60,0.023229657727812023
65,0.021997553812720852
70,0.021035937335022716
75,0.020212009418064166
80,0.019466184339557296
85,0.018895926417907848
90,0.01830252598151067
95,0.017737181344415105
100,0.017227248710067762
105,0.01675942485876352
110,0.01631711847913859
115,0.015910034712006978
120,0.015594082049733409
125,0.015198317971314488
130,0.014999904448391761
135,0.014637409759354807
140,0.014386978552283313
145,0.014069651026057544
150,0.013911518138570523
155,0.013714707298240777
160,0.013594614018864273
165,0.013453310480313709
170,0.013309262347650392
175,0.013114096210791603
180,0.013047909230289381
185,0.01282900165870761
190,0.01269255777815013
195,0.012570234775769911
200,0.012485118139005524
