MAP
topk,score
5,0.002811681496580983
10,0.005147623319291493
15,0.006442588941020905
20,0.007339202512712559
25,0.00784997289314167
30,0.00823349951652794
35,0.008495943020574277
40,0.008637858952091652
45,0.008753341675580098
50,0.008850490880403215
55,0.00891679270506184
60,0.00896620485999771
65,0.008995360176855654
70,0.009038126595527518
75,0.00908477367780277
80,0.00912877497408434
85,0.009174600605247354
90,0.009211815534132715
95,0.009244224325860076
100,0.009273503154416574
105,0.009297582076601035
110,0.009329174498982478
115,0.009359956491651602
120,0.009391365007406678
125,0.009412794272290003
130,0.00945232995491395
135,0.009469931498930344
140,0.00950170375247653
145,0.009519249645871598
150,0.009550099722512152
155,0.009575949231254191
160,0.009610110360056585
165,0.009640358801054157
170,0.009669440702882467
175,0.0096877686837639
180,0.009722068147294812
185,0.009733242064457486
190,0.00975920598465579
195,0.009779769502144786
200,0.00980827616943083
