Recall
topk,score
5,0.006976520561117402
10,0.024765279024069782
15,0.03972238511388819
20,0.05386442856922472
25,0.06270024773075437
30,0.071043374576287
35,0.07673874612723516
40,0.08045484779736768
45,0.08337740083018534
50,0.08622525202512218
55,0.08817241787671128
60,0.08997760757932538
65,0.09099295627557884
70,0.09241400717938215
75,0.09417475414614679
80,0.09608569548819337
85,0.09817869243742111
90,0.10002365376371349
95,0.10160235551282422
100,0.10363751439087664
105,0.10543005046569018
110,0.10699692633193716
115,0.10870595451096393
120,0.11067831458381783
125,0.11221311810338479
130,0.11477564656454053
135,0.1157795551476919
140,0.11786960178465114
145,0.1191278622514828
150,0.12153724037905517
155,0.12360436446006519
160,0.1261010060426182
165,0.12828391806018605
170,0.13011700132517648
175,0.13159865990492312
180,0.13442051425541188
185,0.13552537704832596
190,0.13735356862229103
195,0.1392175125346744
200,0.1416010978237034
