Recall
topk,score
5,0.06493449635991737
10,0.1187377411415102
15,0.151758516143039
20,0.1746334626346655
25,0.1892939992378645
30,0.2003462822929543
35,0.209606437623679
40,0.22008594964689593
45,0.2294446186888047
50,0.23900951694656586
55,0.2499719740297126
60,0.26321813155213314
65,0.2753055629659479
70,0.29161603009838777
75,0.30383092804905154
80,0.320271123779544
85,0.336591488125169
90,0.35087028604470466
95,0.36752462653625445
100,0.3827199475655771
105,0.3967751185373479
110,0.41235301943000413
115,0.4282554565633956
120,0.44375797618580304
125,0.45758475129966714
130,0.47163631944105083
135,0.4846553573398
140,0.4981097057179655
145,0.5104122365650031
150,0.5222443510334448
155,0.5330892365675846
160,0.5458189687439887
165,0.5564455203087921
170,0.5693072776372696
175,0.5841321969930631
180,0.594852557893857
185,0.604701230783829
190,0.6147273981476066
195,0.6247444560696366
200,0.6344820053420696
