MAP
topk,score
5,0.03151677790711471
10,0.03525549157033769
15,0.03729962197984369
20,0.03845306383852145
25,0.039376401890299784
30,0.04012914591516717
35,0.04098597030236996
40,0.041627516806240425
45,0.04214802172949899
50,0.04266047187986296
55,0.043167862026513786
60,0.04359193249858832
65,0.04403218780043868
70,0.04444369609326546
75,0.04483119697919619
80,0.045277185727977245
85,0.04565103819585501
90,0.04606210560013592
95,0.04638946713560628
100,0.046694101128907005
105,0.04702522084336729
110,0.04733753479535491
115,0.047633191723392324
120,0.04791722829540672
125,0.048168293969656
130,0.048408255014070214
135,0.048691521816521144
140,0.048918737241848684
145,0.04916593341245929
150,0.04936248853901262
155,0.04955497570765287
160,0.049767477939746604
165,0.04995483201885465
170,0.05009319805896972
175,0.05024493420342932
180,0.05036603672541478
185,0.05048532089037831
190,0.05059492490943746
195,0.05070958819903007
200,0.050822503034333055
