F1
topk,score
5,0.06390466671299182
10,0.06410925696384252
15,0.06110747891517182
20,0.05728611045006105
25,0.05451973692637573
30,0.052298221537647814
35,0.05117925038771094
40,0.04972073985119837
45,0.04809722999774708
50,0.04669560897419176
55,0.04584585648174754
60,0.04482327299023793
65,0.044102437368556666
70,0.043428884018872814
75,0.04283720866508717
80,0.042675293202941014
85,0.04229852493753036
90,0.04201577268631569
95,0.0415283522350562
100,0.04100614775861327
105,0.040663057872603915
110,0.040298911911928394
115,0.039894919505229144
120,0.03951457435370553
125,0.039119105906953645
130,0.038746377662283935
135,0.03858786889412423
140,0.03822549532567376
145,0.037939834453464244
150,0.0375280090447706
155,0.037112482175380615
160,0.03681730458110473
165,0.03642820416507756
170,0.03591625460550174
175,0.03550368671187992
180,0.03500161812262467
185,0.03451688831547662
190,0.034033229318590826
195,0.033581152666786
200,0.03315878232031712
