Precision
topk,score
5,0.07906976744186046
10,0.05589414595028067
15,0.04570970328789094
20,0.03937449879711307
25,0.03544506816359262
30,0.03271852445870088
35,0.03109176308855539
40,0.029550922213311945
45,0.0281030027621848
50,0.02689655172413793
55,0.02609900123933805
60,0.025260625501202887
65,0.02463759175868238
70,0.02408065070454806
75,0.023597968457631652
80,0.023376102646351243
85,0.023057691400537757
90,0.02280139000267308
95,0.02244544802262272
100,0.022085004009623096
105,0.021827624393783177
110,0.021564482029598313
115,0.021289355322338832
120,0.021030473135525262
125,0.02077305533279872
130,0.02052927024859663
135,0.020404526418961063
140,0.02017413220300149
145,0.019987279816386917
150,0.019738037957765305
155,0.01948935509739504
160,0.019306335204490776
165,0.01907608563582902
170,0.018783904901174583
175,0.01854507961965861
180,0.01826160563129288
185,0.01798911983354646
190,0.017718313425906386
195,0.017465506960294447
200,0.01722935044105854
