Precision
topk,score
5,0.08484362469927828
10,0.07955092221331193
15,0.06848436246992783
20,0.059943865276663996
25,0.05225340817963111
30,0.04608393477679764
35,0.04144804674074923
40,0.03815156375300721
45,0.03530250378686625
50,0.033119486768243785
55,0.03142086462054385
60,0.030245923549852977
65,0.0291160323237308
70,0.028605796769389392
75,0.02781074578989575
80,0.027395749799518847
85,0.027095617717816878
90,0.026632807627194152
95,0.026379099312033093
100,0.026030473135525267
105,0.025737961583992056
110,0.02548662243930889
115,0.025264112129981524
120,0.02511360598770382
125,0.024866078588612672
130,0.02463142310776633
135,0.024408209332026493
140,0.024143659067476227
145,0.023925006221828943
150,0.023656776263031275
155,0.023385156633986083
160,0.023225741780272653
165,0.022973925299506693
170,0.022812396811170338
175,0.0226967579333257
180,0.02248953042858416
185,0.022245822406207334
190,0.022031823745410035
195,0.021841136676742128
200,0.021639935846030474
